class,solution_treatment_temperature,C_mass,Ni,Nb+Ta,V,Fe,Sn,Ti_test_temperature,test_stress,Ti_lg_RT
IMI834,1019.85,0.06,0.7,0.7,0,0,4,600,550,1.230448921
IMI834,1019.85,0.06,0.7,0.7,0,0,4,600,476,1.716003344
IMI834,1019.85,0.06,0.7,0.7,0,0,4,625,400,1.498310554
IMI834,1019.85,0.06,0.7,0.7,0,0,4,625,300,2.230448921
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,325,1.498310554
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,298,1.809559715
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,252,2
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,223,2.29666519
Ti60_1#,1070,0.06,0,1.4,0,0,4,600,450,1.716003344
Ti60_2#,1070,0.06,0,1.4,0,0,4,600,450,1.602059991
Ti60_2#,1070,0.06,0,1.4,0,0,4,600,360,2.276461804
Ti60_4#,1070,0.06,0,1.4,0,0,4,600,450,1.591064607
Ti60_4#,1070,0.06,0,1.4,0,0,4,600,360,2.176091259
as-cast,0,0,0,1,0,0,4,650,200,1.807535028
as-cast,0,0,0,1,0,0,4,650,250,1.371067862
as-cast,0,0,0,1,0,0,4,675,200,1.181843588
DMR834HF 1,1080,0.06,0.017,0.6,0,0.024,3.98,650,220,2.075546961
DMR834HF 2,1055,0.06,0.017,0.6,0,0.024,3.98,650,220,1.681241237
DMR834HF 3,1040,0.06,0.017,0.6,0,0.024,3.98,650,220,1.602059991
DMR834HF 4,1000,0.06,0.017,0.6,0,0.024,3.98,650,220,1.505149978
DMR834HF 5,960,0.06,0.017,0.6,0,0.024,3.98,650,220,1.431363764
DMR834LF 2,1055,0.07,0.0065,0.73,0,0.015,3.42,650,220,1.806179974
DMR834LF 3,1045,0.07,0.0065,0.73,0,0.015,3.42,650,220,1.740362689
DMR834LF 4,1000,0.07,0.0065,0.73,0,0.015,3.42,650,220,1.51851394
DMR834LF 5,970,0.07,0.0065,0.73,0,0.015,3.42,650,220,1.322219295
Timetal834 2,1040,0.065,0.002,0.71,0,0.0065,4.02,650,220,2.068185862
Timetal834 3,1025,0.065,0.002,0.71,0,0.0065,4.02,650,220,2.008600172
Timetal834 4,1000,0.065,0.002,0.71,0,0.0065,4.02,650,220,1.851258349
Timetal834 5,970,0.065,0.002,0.71,0,0.0065,4.02,650,220,1.51851394
TC4,950,0.1,0,0,4,0.3,0,600,125,1.343802333
TC4,950,0.1,0,0,4,0.3,0,600,250,0.089905111
TC4,950,0.1,0,0,4,0.3,0,600,319,-0.602059991
TC4,0,0.1,0,0,4,0.3,0,600,125,1.146128036
TC4,0,0.1,0,0,4,0.3,0,600,250,-0.207608311
TC4,0,0.1,0,0,4,0.3,0,600,319,-0.769551079
TC4-2,0,0.09,0,0,4,0.2,0,475,300,2.171228997
TC4-2,0,0.09,0,0,4,0.2,0,500,300,1.669037801
TC4-2,0,0.09,0,0,4,0.2,0,550,300,1.456517858
TC4-2,0,0.09,0,0,4,0.2,0,500,300,2.189546457
TC4-2,0,0.09,0,0,4,0.2,0,550,300,0.838219222
TC4-2,0,0.09,0,0,4,0.2,0,500,300,2.267828542
TC4-2,0,0.09,0,0,4,0.2,0,550,300,0.884795364
TC4-3,0,0.005,0,0,4.07,0.2,0,600,222,0.340444115
TC4-3,0,0.005,0,0,4.07,0.2,0,600,250,-0.080921908
TC4-3,0,0.005,0,0,4.07,0.2,0,600,278,-0.468521083
TC4-3,0,0.005,0,0,4.07,0.2,0,600,300,-0.721246399
TC4-4,0,0.026,0,0,4.23,1.18,0,500,291,0.44870632
TC4-4,0,0.026,0,0,4.23,1.18,0,500,361,0.113609151
TC4-4,0,0.026,0,0,4.23,1.18,0,500,465,-0.899629455
TC4-4,0,0.026,0,0,4.23,1.18,0,500,520,-1.886056648
TC4-4,0,0.026,0,0,4.23,1.18,0,600,97,-0.565431096
TC4-4,0,0.026,0,0,4.23,1.18,0,600,125,-0.978810701
TC4-4,0,0.026,0,0,4.23,1.18,0,600,291,-2.55129368
TC4-4,0,0.026,0,0,4.23,1.18,0,600,319,-2.804100348
Ti65,1020,0.05,0,1.3,0,0,4,650,240,2.241795431
Timetal834-5a,1050,0.06,0,0.7,0,0,4,600,350,1.949390007
Timetal834-5a,1050,0.06,0,0.7,0,0,4,600,400,1.574031268
Timetal834-12a,1030,0.06,0,0.7,0,0,4,600,300,2.041392685
Timetal834-12a,1030,0.06,0,0.7,0,0,4,600,350,1.716003344
Timetal834-12a,1030,0.06,0,0.7,0,0,4,600,400,1.477121255
Timetal834-24a,1010,0.06,0,0.7,0,0,4,600,300,2.012837225
Timetal834-24a,1010,0.06,0,0.7,0,0,4,600,350,1.748188027
Timetal834-24a,1010,0.06,0,0.7,0,0,4,600,400,1.322219295
Timetal834-40a,990,0.06,0,0.7,0,0,4,600,300,1.892094603
Timetal834-40a,990,0.06,0,0.7,0,0,4,600,350,1.579783597
Timetal834-40a,990,0.06,0,0.7,0,0,4,600,400,1.278753601
