class,[Mo]eq,Ti_test_temperature,test_stress,Ti_lg_RT
IMI834,-5.202,600,195,3.678518379
TC4-2,-2.94,475,300,3.674146216
IMI834,-5.202,650,135,3.397940009
IMI834,-5.202,625,173,3.394451681
IMI834,-5.202,600,275,3.025305865
IMI834,-5.202,650,150,3.025305865
IMI834,-5.202,600,295,2.921686475
TC4-2,-2.94,475,300,2.875061263
IMI834,-5.202,650,177,2.806179974
IMI834,-5.202,625,248,2.736396502
Timetal834-12a,-5.202,600,250,2.658011397
IMI834,-5.202,600,349,2.51851394
IMI834,-5.202,625,277,2.505149978
Timetal834-5a,-5.202,600,300,2.484014963
as-cast,-4.62,650,150,2.44870632
IMI834,-5.202,600,355,2.447158031
Timetal834-24a,-5.202,600,250,2.447158031
Ti60_1#,-5.204,600,360,2.442479769
Timetal834 1,-5.13175,650,220,2.42975228
as-cast,-4.62,625,200,2.400883216
Timetal834-40a,-5.202,600,250,2.397940009
DMR834LF 1,-5.3143,650,220,2.342422681
IMI834,-5.202,650,223,2.29666519
Ti60_2#,-5.204,600,360,2.276461804
TC4-2,-2.94,500,300,2.267828542
Ti65,-4.766,650,240,2.241795431
IMI834,-5.202,625,300,2.230448921
TC4-2,-2.94,500,300,2.189546457
Ti60_4#,-5.204,600,360,2.176091259
